"id_tipo_ocorrencia","id_grupo","nm_tipo_ocorrencia","desc_tecla_atalho","icone","ordem","visivel"


-- GEOMETRIA
28,12,"NR_FX",NULL,NULL,4,"S"
31,12,"VIAS LATERAIS",NULL,NULL,7,"S"
32,12,"TRAV URB","",NULL,6,"S"
70,12,"CANTEIRO CENTRAL",NULL,NULL,3,"S"
71,12,"INTERCESSÕES",NULL,NULL,8,"S"
72,12,"CONSTRUÇÃO",NULL,NULL,9,"S"
79,12,"TIPO SEÇÃO",NULL,NULL,1,"S"
80,12,"TIPO SUPERF.",NULL,NULL,2,"S"
81,12,"MULTIFAIXA",NULL,NULL,5,"S"
83,12,"EROSÃO",NULL,NULL,10,"S"


-- PAVIMENTO
3,5,"FISSURA","q",NULL,1,"S"
4,5,"FC2","w",NULL,2,"S"
6,5,"FC3","e",NULL,3,"S"
7,5,"AFUNDAMENTO","r",NULL,4,"S"
8,5,"PANELA","t",NULL,5,"S"
9,5,"REMENDO","y",NULL,6,"S"
10,5,"EXSUDACAO","u",NULL,7,"S"
11,5,"ESCORREGAMENTO","i",NULL,8,"S"
12,5,"DESGASTE","o",NULL,9,"S"
13,5,"QUEBRA_BORDO","a",NULL,10,"S"
52,5,"SEGREGAÇÃO","s",NULL,11,"S"
53,5,"SEL TRINCA","d",NULL,12,"S"
82,5,"PAVIMENTO","p",NULL,20,"S"

18,5,"OBRAS","k",NULL,17,"S"
69,5,"OAE",NULL,NULL,19,"S"



-- SINALIZACAO
33,9,"LOMBADA","k",NULL,9,"S"
34,9,"BARR. ELETR","j",NULL,11,"S"
36,9,"SEMÁF.","l",NULL,12,"S"
37,9,"ILUMINACAO","",NULL,10,"S"
46,9,"HORIZONTAL EIXO",NULL,NULL,2,"S"
47,9,"HORIZONTAL BORDA",NULL,NULL,3,"S"
48,9,"VERTICAL ESTADO",NULL,NULL,4,"S"
49,9,"VERTICAL CLASSIFIC.",NULL,NULL,5,"S"
50,9,"DEFENSAS CLASSIFIC.",NULL,NULL,6,"S"
51,9,"DEFENSAS DEFEITO","y",NULL,8,"S"
54,9,"LOCALIZAÇÂO DISP",NULL,NULL,7,"S"
63,9,"FAIXA EIXO",NULL,NULL,1,"S"
64,9,"FAIXA PEDESTRE",NULL,NULL,13,"S"
65,9,"POSTOS",NULL,NULL,14,"S"
66,9,"VEGETAÇÃO",NULL,NULL,15,"S"


-- ACOSTAMENTO
55,10,"CONDIÇÃO",NULL,NULL,2,"S"
61,10,"DEGRAU","",NULL,5,"S"
67,10," TIPO PAVIMENTO",NULL,NULL,4,"S"
68,10,"LARGURA",NULL,NULL,3,"S"
74,10,"COND. MEIO FIO",NULL,NULL,7,"S"
75,10,"SENT. MEIO FIO",NULL,NULL,6,"S"
77,10,"COND. SARJETA",NULL,NULL,9,"S"
78,10,"SENT. SARJETA",NULL,NULL,8,"S"
84,10,"SENT ACOSTAMENTO",NULL,NULL,1,"S"
