"id_detalhe_ocorrencia","id_tipo_ocorrencia","nm_detalhe_ocorrencia"
5,28,"6 FAIXAS"
6,28,"5 FAIXAS"
7,28,"4 FAIXAS"
8,28,"3 FAIXAS"
9,28,"2 FAIXAS"
13,30,"MISTA"
14,30,"CORTE"
15,30,"ATERRO"
16,30,"NIVEL"
17,30,"PONTE"
18,31,"DIR"
19,31,"ESQ"
20,31,"DE"
21,40,"Plantações"
22,40,"Nativa"
23,41,"Combustível"
24,41,"Pesagem/fiscal."
25,41,"Polícia Rod.Fed."
26,46,"BOA"
27,46,"RUIM"
28,47,"BOA"
29,47,"RUIM"
30,48,"BOA"
32,48,"RUIM"
33,49,"ADVERTÊNCIA"
34,49,"REGULAMENTAÇÃO"
35,49,"INDICATIVA"
36,49,"ATRATIVOS TUR."
37,49,"SERVIÇOS AUX."
38,49,"EDUCATIVAS"
39,50,"METÁLICA SIMPLES"
40,50,"CONCRETO"
41,50,"GUARDA CORPO"
43,50,"MISTA"
44,48,"REGULAR"
45,46,"REGULAR"
46,50,"METÁLICA DUPLA"
47,50,"NEW JERSEY"
48,54,"DIREITO"
49,54,"ESQUERDO"
50,54,"AMBOS"
51,47,"REGULAR"
52,55,"BOA"
53,55,"REGULAR"
54,55,"RUIM"
55,63,"CONTINUA"
56,63,"TRACEJADA"
57,49,"TEMPORÁRIA"
60,66,"RASA"
61,66,"MÉDIA"
62,66,"DENSA"
63,67,"PAVIMENTADO"
64,67,"N_PAVIMENTADO"
68,69,"PONTE/PONTILHÃO"
69,69,"VIADUTO"
71,69,"TÚNEL"
72,69,"ESTEIRA"
73,69,"PASSARELA"
76,74,"BOA"
77,74,"REGULAR"
78,74,"RUIM"
84,77,"BOA"
85,77,"REGULAR"
86,77,"RUIM"
90,79,"CORTE"
91,79,"ATERRO"
93,79,"PLANO"
94,80,"SIMPLES"
95,80,"DUPLA"
96,81,"ACESSO"
97,81,"FAIXA ADIC"
98,28,"1 FAIXA"
99,28,"7 FAIXAS"
100,28,"8 FAIXAS"
70,69,"MADEIRA"
58,65,"SERVIÇO"
59,65,"GASOLINA"
101,82,"_CBUQ"
102,82,"_MICRO"
103,82,"_TS"
104,82,"_CONCRETO"
105,82,"_OUTROS"
108,82,"_NÃO PAV"
109,84,"DIREITA"
110,84,"ESQUERDA"
111,84,"AMBOS"
79,75,"AMBOS"
80,75,"DIREITA"
81,75,"ESQUERDA"
87,78,"AMBOS"
88,78,"DIREITA"
89,78,"ESQUERDA"
65,68,"MAIOR 2m"
67,68,"ATE 2m"
120,71,"NÍVEL"
121,71,"DESNÍVEL"
122,72,"ESQUERDA"
123,72,"DIREITA"
124,72,"AMBOS"
125,83,"ESQUERDA"
126,83,"DIREITA"
127,83,"AMBOS"
128,92,"ESQUERDA"
129,92,"DIREITO"
130,92,"AMBOS"
131,93,"ESQUERDA"
132,93,"DIREITO"
133,93,"AMBOS"
134,90,"CORTE"
135,90,"ATERRO"
136,90,"PLANO"
137,91,"ACESSO"
139,91,"FAIXA ADIC"
